Series Name,Average precipitation in depth (mm per year),CPI base year,CPIA property rights and rule-based governance rating (1=low to 6=high),CPIA structural policies cluster average (1=low to 6=high),CRVS (WDI),Changes in inventories (constant LCU),Changes in inventories (current LCU),Changes in inventories (current US$),"Charges for the use of intellectual property, receipts (BoP, current US$)",Compensation of employees (current LCU),Container port traffic (TEU: 20 foot equivalent units),Control of Corruption: Estimate,Control of Corruption: Number of Sources,Control of Corruption: Percentile Rank,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval","Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",Control of Corruption: Standard Error,DEC alternative conversion factor (LCU per US$),Electric power transmission and distribution losses (% of output),Firms competing against unregistered firms (% of firms),Firms experiencing electrical outages (% of firms),Firms offering formal training (% of firms),Firms that spend on R&D (% of firms),Fixed broadband subscriptions,GOAL 16: Peace and Justice Strong Institutions (5 year moving average),GOAL 17: Partnerships to achieve the Goal (5 year moving average),GOAL 2: Zero Hunger (5 year moving average),Geospatial data available at 1st Admin Level,"IFC, private nonguaranteed (NFL, US$)","Industrial design applications, nonresident, by count","Industrial design applications, resident, by count","Listed domestic companies, total",Net ODA received per capita (current US$),"Net bilateral aid flows from DAC donors, Australia (current US$)","Net bilateral aid flows from DAC donors, Austria (current US$)","Net bilateral aid flows from DAC donors, Belgium (current US$)","Net bilateral aid flows from DAC donors, Canada (current US$)","Net bilateral aid flows from DAC donors, Czechia (current US$)","Net bilateral aid flows from DAC donors, Denmark (current US$)","Net bilateral aid flows from DAC donors, Estonia (current US$)","Net bilateral aid flows from DAC donors, European Union institutions (current US$)","Net bilateral aid flows from DAC donors, France (current US$)","Net bilateral aid flows from DAC donors, Germany (current US$)","Net bilateral aid flows from DAC donors, Greece (current US$)","Net bilateral aid flows from DAC donors, Hungary (current US$)","Net bilateral aid flows from DAC donors, Italy (current US$)","Net bilateral aid flows from DAC donors, Japan (current US$)","Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)","Net bilateral aid flows from DAC donors, Lithuania (current US$)","Net bilateral aid flows from DAC donors, Luxembourg (current US$)","Net bilateral aid flows from DAC donors, Norway (current US$)","Net bilateral aid flows from DAC donors, Portugal (current US$)","Net bilateral aid flows from DAC donors, Slovenia (current US$)","Net bilateral aid flows from DAC donors, Spain (current US$)","Net bilateral aid flows from DAC donors, Sweden (current US$)","Net bilateral aid flows from DAC donors, Total (current US$)","Net bilateral aid flows from DAC donors, United Kingdom (current US$)","Net bilateral aid flows from DAC donors, United States (current US$)","Net errors and omissions (BoP, current US$)","Net incurrence of liabilities, total (current LCU)",Newborns protected against tetanus (%),"Patent applications, nonresidents","Patent applications, residents","Persistence to grade 5, total (% of cohort)",Political Stability and Absence of Violence/Terrorism: Estimate,Political Stability and Absence of Violence/Terrorism: Number of Sources,Political Stability and Absence of Violence/Terrorism: Percentile Rank,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval","Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",Political Stability and Absence of Violence/Terrorism: Standard Error,"Portfolio equity, net inflows (BoP, current US$)",Power outages in firms in a typical month (number),Prevalence of current tobacco use (% of adults),"Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)",Prosperity gap (average shortfall from a prosperity standard of $25/day),Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,Rail lines (total route-km),Regulatory Quality: Estimate,Regulatory Quality: Number of Sources,Regulatory Quality: Percentile Rank,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval","Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",Regulatory Quality: Standard Error,"Reserves and related items (BoP, current US$)",Rule of Law: Estimate,Rule of Law: Number of Sources,Rule of Law: Percentile Rank,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval","Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",Rule of Law: Standard Error,S&P Global Equity Indices (annual % change),SDDS/e-GDDS subscription,Scientific and technical journal articles,Secure Internet servers,Subsidies and other transfers (current LCU),Surface area (sq. km),Time required to obtain an operating license (days),"Total reserves (includes gold, current US$)",Total reserves minus gold (current US$),Value lost due to electrical outages (% of sales for affected firms)
Average precipitation in depth (mm per year),1.0,-0.17258538390580253,-0.08121600289246322,-0.03536907268624405,-0.14336409338763492,-0.11349725808080313,-0.09244728000863375,-0.10877783175007047,-0.0857786177756221,0.14381850882130862,0.0037017673726322483,-0.10047522984219402,-0.10436832494120064,-0.10066507666651643,-0.09384870066430308,-0.08704914539918807,0.16555956780159345,0.1450196059163429,0.0556117799785381,0.12510689345315487,0.15771942534026437,-0.01715398061462242,-0.01815987777631667,-0.0660226958712067,0.28141481418317155,-0.15446648079213685,-0.0738169665623121,-0.11704892572974412,-0.09391361745143727,0.1662927101394654,0.16601582274852372,0.06525009734000624,0.027184697096902213,0.06324211752505415,-0.13996605010090415,-0.0772753571777943,0.07256418844064025,-0.1748107221540682,-0.011823206542714949,-0.11963507682011507,-0.13947265951236876,-0.051267393554763514,0.030601648838275607,-0.07417423753661438,-0.19649403282953243,0.002697177766295827,0.07288232951044989,0.19377820214762223,-0.10539506526872598,-0.018305955147680547,0.18386540891918804,0.018276964213054504,-0.012331813206438303,0.11814805189975801,0.007082161606225102,0.049210423804383924,-0.17925145641044538,-0.031350773991306265,-0.04761849183623519,0.02717804598396931,-0.05770275054014143,0.28474860409842245,0.14692848533052044,0.11775372481909814,-0.030170200130826615,-0.11065479688042415,-0.04170246174630529,-0.04708816409552342,-0.030034331198468333,0.04954216166652971,-0.05227678189302049,0.1383702781483859,0.2074776857632632,-0.1496627649126818,-0.16948039155178163,-0.16690026550646878,-0.058288641274306996,0.22286724447340067,-0.08478231814140257,-0.07209690923268845,-0.08008924773289866,-0.08303443093458614,-0.06953302490664509,0.076580884848155,-0.09018313764905121,-0.10070585786023092,-0.11266402621765643,-0.10488127144175673,-0.11260048112652583,-0.09268892792795334,0.25778550146242757,-0.270293823668926,-0.17842560698409068,-0.11774359124000733,-0.1991475300735037,0.0836605986018389,-0.023942286983981882,-0.0463458766810931,-0.009292273159010572,0.025127003624155698,0.1632332998443895
CPI base year,-0.17258538390580253,1.0,0.29056079137653484,0.3078060940669406,0.34830342075130294,0.28979585868327873,0.001981768440764041,0.04568819635540748,0.3239144796911294,-0.19922059740734627,0.08206399709168076,0.607621861796157,-0.12020837772466661,0.6125764982537961,0.6057341480838767,0.5958113559786183,0.004395680979942834,-0.34155142517553533,-0.43570119187660983,-0.11194983096850364,-0.06409703647418358,0.12466915790053636,0.029068865152021613,0.2386632198878865,-0.2744818563312321,0.24378619837210977,0.009278136540941596,0.10822994760849945,0.3168518197916257,0.03854753139213233,0.014162196785424061,0.08017822888389341,0.22018573495562058,0.14316807093972406,0.2663694118502506,0.11838515621564957,-0.08645847012897928,0.2882248198675321,0.10134255127721654,-0.005780335175994073,0.16923376864957237,0.20896438323295835,0.10489733060703918,-0.023920004094781913,0.1236585585189729,0.16047831409758395,0.02882677030415253,-0.07056736752145552,0.2127675323903686,0.10271996015175926,0.02582528517163189,-0.02283047052532311,0.12311411962845625,-0.184911953212548,0.2074833277547443,0.0741312034302157,0.16271282286268285,0.03807584129954715,0.17046278819670385,-0.05787391286510529,-0.006741195336565954,-0.08714823738033828,-0.0011260503901760113,-0.1239808608703035,0.30300792276357724,0.1859912515297109,0.32031247628464976,0.3632680511091151,0.3057518129976191,-0.06955300907831155,-0.010649730158994414,-0.034534632707945614,-0.25908549331112257,0.5187937401076019,0.4750769879941518,0.43538777798077344,0.3786115614300297,-0.05702258221357344,0.5758688114418332,-0.1982893546545929,0.5717510266643713,0.5654865979165089,0.5700995705558105,0.2708374489526036,0.09821845172250805,0.6295015639913779,-0.1784380743439173,0.6305009234954682,0.6377340818120621,0.6171481219799269,-0.06242758994910948,0.03478863191005072,0.35652587237940575,0.28473518713072604,0.4556535312158307,-0.11038675129813635,-0.02721609744756295,0.09473643006193164,0.08944374892562933,0.061858879717970494,-0.04683742902047156
CPIA property rights and rule-based governance rating (1=low to 6=high),-0.08121600289246322,0.29056079137653484,1.0,0.6028585118267014,0.10226900179878651,-0.04462129850257646,0.04598530648203292,0.03186015800846895,-0.1641264341710779,0.13994297211097917,0.0812219400970892,0.36264729727099,-0.120718743290666,0.4185763325683313,0.45014958736938127,0.40182916958079573,0.10279911835411044,0.07815198411798013,-0.10303614745862628,-0.06855511774381674,-0.06350890192036178,0.08555914454232627,0.07454635042659133,-0.07415173982237505,0.06900799329290662,-0.034866691708375315,0.04641866404692822,0.07035905012716398,0.11726091675695269,-0.06996203810856987,-0.10075219337354945,-0.11076016154331918,0.06756050882835386,-0.06774918783759101,-0.036532079344154415,0.23830240217699364,-0.047642665415254075,0.08236310888260748,0.15246307116171992,0.1922596619191583,-0.021210585309552235,0.11754969702695074,0.01863958624720235,0.003650580783471636,0.005538195003333263,0.11613565455288972,-0.0684761478190482,-0.027164859605325452,0.03724525902312426,0.06049032213292342,0.06368005386980834,0.061250774716448575,-0.03243743357532525,-0.0985867233658343,0.16487070229613168,0.006330422286728864,0.047208779771831876,0.05733398420361422,0.1856895534034602,0.008729508947849799,0.1602089212598655,-0.0939012071590442,-0.09810773116496009,0.29194892285502316,0.16892846012993928,-0.056291682778641564,0.15135086847896823,0.1706283429848029,0.15532493217922688,0.17625925911391516,0.07008439251394752,-0.02156982435994767,0.2232248468891778,0.006268405512550576,-0.06102497117864067,-0.029877065589252284,0.016806579032454517,-0.019908875321713558,0.34505341403400425,-0.08575790824067707,0.3793082310995869,0.39176830324168316,0.3532323570675366,-0.014597432658185012,-0.07045659675687052,0.3995497780517089,-0.15313583688931526,0.44758072987764064,0.42272435577834805,0.42973110328128816,0.0945866379582738,0.057258937433809984,0.10923927023692821,-0.04117162148911017,-0.03229841012687206,0.13486235005120514,-0.1506392753749868,0.06778587224241034,0.045728485487684725,0.0419509831581503,-0.04737547493431346
CPIA structural policies cluster average (1=low to 6=high),-0.03536907268624405,0.3078060940669406,0.6028585118267014,1.0,-0.14257924825560087,-0.1990034144601723,-0.08905373625867584,-0.083441003746763,0.023202310040582038,0.14410435193515145,0.12903838691229264,0.3679795605816325,0.002262995194081475,0.43582812486137334,0.47118906619170337,0.4185561020405113,0.01349221687408613,0.05875366182021497,-0.04669529982111924,0.09732384611087679,-0.010134579106141978,0.010649673135840627,-0.029559335654407996,0.12011670651209863,0.003434467762467559,-0.06722159463419214,-0.0077614677643319625,0.10266319920941831,0.12748750018561653,0.042663587351894336,0.008236566051086283,-0.08949011352626877,0.10465005418023432,-0.03485874586238801,0.02850727321613905,0.17855113296376254,-0.08590791084755517,0.05920725046794971,0.0607575119408262,0.09110247648419313,0.008077389384300552,0.05117140867439835,0.06221152846661714,-0.06331648761085572,0.011716450390451194,0.1457892926461711,-0.14841947171614997,-0.13137676767882797,0.0314109500069338,0.16695790205424615,0.10175075348222963,0.09224663589799008,-0.09535833984810937,-0.08644089515203122,0.12021692232633395,-0.04703666501621205,0.08369702786294816,0.051069791600836856,0.2502488089400168,0.03550022119192169,0.15136210976248804,0.028621625021555082,0.045575103908722825,0.02789111467038767,0.1256859427895143,0.012221550138061178,0.1515068701092869,0.12942565422218444,0.12368474031469551,0.020334268616206932,0.06345954199187087,-0.003380523206933198,0.10451765571201882,-0.043835156910937145,-0.04511706670431202,0.01873931968274971,-0.014558660644579936,0.12196073207745978,0.33627050527272717,-0.00022498365380622064,0.38918698342138086,0.38675738444779567,0.36277804770529387,-0.03464377858822114,-0.09858803044084567,0.3285218987755403,-0.01296765296273273,0.3748515833298845,0.35202522533471636,0.3594039105836424,0.0013887864667065316,-0.07900606700065488,0.051483815759675346,0.09694730715302649,0.0979019215360752,0.1705070469590723,0.060924341885397644,-0.1355332504051155,-0.006457769378524741,-0.01255637833059088,0.004459807560302141
CRVS (WDI),-0.14336409338763492,0.34830342075130294,0.10226900179878651,-0.14257924825560087,1.0,0.2004726022679115,-0.05168306278377958,0.0015468097443025112,0.28241200510590064,-0.3020846081462717,0.06484766471584653,0.4835286821308649,-0.21906528467570716,0.46926933494950435,0.44676787668586276,0.47203338024788327,0.0825475534252474,-0.43187551385082845,-0.5113439734705272,-0.18554433082896898,-0.05009330074081692,0.17952802361420073,0.17173951955543543,0.2602388652396526,-0.2796487143021022,0.28853886616763535,0.14387189016185797,0.22858095411796692,0.29172689617701525,-0.011803101741895602,-0.013374554613709202,-0.020280581706411782,0.09633676467899924,0.06569632544061363,0.17239000471977275,-0.06886635739781242,-0.17188998577847955,0.22309965285965666,-0.06173380779280704,-0.0444989567565825,0.007070074546372196,0.14326373433765816,-0.062117009552282186,0.03537775741572673,0.1671853233827222,0.07404180755286632,0.12144779406683262,-0.1244834139342258,0.2642793319431954,-0.1344128179526109,-0.03871404631458283,0.12807091506621301,0.14126641890793507,0.0517478655920041,0.05042111028964377,-0.08099026056951113,-0.05644851823342486,-0.1507251192828727,0.05074895940863539,-0.12000586154258011,-0.30083841349418766,-0.05704240259542047,-0.02434095527416459,-0.15378508952844686,0.4533762376002413,0.27093097295610863,0.4447359158847235,0.4702390914461855,0.4527204735269538,-0.16817984032331615,-0.03330299428750384,-0.03041311678902992,-0.330547730602334,0.6511535566152054,0.5520190853352182,0.41249315820261,0.3121131925912291,-0.06604421075034203,0.5422521987184195,-0.3839992626183244,0.5289210363395823,0.511892675137021,0.5436178481418124,0.5097152805519981,0.14334144998792478,0.47604994520363747,-0.27477213923019866,0.4613040071555237,0.453118449278563,0.4629898866509667,0.049493091989041595,0.018034062594643515,0.6593603770952315,0.2399874126219889,0.39557818912580656,-0.21539118249554276,-0.13237411130361681,0.17043997615368303,0.10173159127099746,0.07196021476334218,-0.03909359973977973
Changes in inventories (constant LCU),-0.11349725808080313,0.28979585868327873,-0.04462129850257646,-0.1990034144601723,0.2004726022679115,1.0,0.5278315899699274,0.522014156991982,0.17693486429734856,-0.1362891040652609,-0.02604844574283066,0.19377778787747485,-0.14084676458427656,0.17020717646817826,0.14294499199989388,0.16332479707378442,0.07891000580907702,-0.13959099948913276,-0.29319597403394076,-0.17082863205627596,-0.014519635040957053,-0.07489604953428058,-0.07050714857033454,0.028718691982635425,0.007248227105087875,0.2573710794215795,0.1440580313631074,0.07566096522628912,0.1334507438171834,0.005332873350051747,0.03766047527336484,0.13879180382091683,0.11687393495729533,0.13451942251744908,0.1095287328682442,-0.15167619672906693,-0.05810301837991987,0.10837279809255654,0.1570073946740001,-0.024250305706044927,0.14322561295914527,-0.021494901755642715,0.015740312632524338,-0.08690204097026791,0.13413695133386655,-0.05956165347818242,0.05403632086255866,-0.04426312096120725,0.11808974603266142,0.022868057674020077,0.03959860532301812,-0.04037171826307289,0.015563749751194317,-0.10465959651481598,-0.0593350130802409,-0.0562051498397941,-0.04773380248043588,-0.13258803710682504,-0.10530140387275065,-0.03105396175183688,0.07705014093476718,-0.04716272764899938,0.020495542285227913,-0.02086850805337237,0.1727530127118582,0.019590919163129498,0.1937287493242473,0.20694659089205394,0.19757144540448268,0.011769950413007137,0.08114075953340873,0.027808255599430842,-0.16268127622380177,0.3265777951621938,0.32130551575918515,0.26098092510131,0.2102894756257279,-0.08711500931284313,0.16696709918768068,-0.20378763099903544,0.14575214486204943,0.1310395684315135,0.1591948205818815,0.24373323027560928,0.04701758922636861,0.2292679311308321,-0.19489207890057889,0.2151104235224348,0.21409291051328747,0.21289096352500672,0.07219158293396417,0.0758284968061582,0.12670714262911467,0.03914879334006751,0.14952360739911832,-0.08582400888262179,-0.12142448032471435,0.03972419791111107,0.046426374309364075,0.01470374438622718,0.004058678114128588
Changes in inventories (current LCU),-0.09244728000863375,0.001981768440764041,0.04598530648203292,-0.08905373625867584,-0.05168306278377958,0.5278315899699274,1.0,0.9892414547281636,-0.0261721589320253,0.05042237813993527,-0.03868433434461177,-0.053407620435742424,-0.03293595427875468,-0.053632387603233085,-0.062364622786141154,-0.0571028521809533,0.006273465655861022,0.07712880881302125,-0.03994073359507794,-0.25289246535214616,0.06338866113203666,-0.1758051179707601,-0.13136866236906902,-0.06581978434900687,0.171115018620936,0.11978968661360805,-0.009233522025123682,0.09949894336997495,-0.11828197030912137,-0.09919656811652713,-0.08092210792640164,-0.06409387701825925,-0.03159103442589265,-0.045182752383333025,-0.01940411587093797,-0.07997899018673037,-0.08286998960339861,-0.1181888415813994,0.022414773267616643,-0.11890796008921627,0.011746530038263701,-0.11175019710124832,-0.06610248844735558,-0.05598875521343778,0.04740918808967345,-0.09922792855571154,-0.05182225261850404,-0.0911832430859285,-0.12289733708978257,-0.0059104974979410675,-0.04571527503599812,-0.055545264388188534,-0.08511375684845776,-0.16639106747739377,-0.07274386652111278,-0.09106046196426706,-0.07158745376958262,-0.1321964661797149,0.004973331924397972,-0.04537297818628207,0.11710092647221892,-0.10165001397096858,-0.0817791691059519,0.07009618442291903,-0.06023336295074894,-0.11702657738996639,-0.049245667841631174,-0.060816364881357665,-0.04692274043736065,0.13497970228058087,0.04249834550706744,0.18671210973709138,0.04670666352644356,0.0025794366748668734,0.032492120829382035,-0.03352507117300215,0.04002729867753692,-0.05983672008176379,-0.11479606503240235,-0.06971142680514972,-0.11774198053685468,-0.12302819093705443,-0.11546764660000154,-0.024449884038199792,0.011663325286880369,-0.038587601348510366,-0.11731447946603163,-0.03486459565846,-0.03612883663893955,-0.045229144175605834,0.021490376698427283,0.04790190841030825,-0.08950884609876418,-0.16314400575138982,-0.062204592004139504,0.06311683053140447,-0.18492451504415358,0.027109642424509417,-0.038173403767046726,-0.058962213989528146,0.12451472641785
Changes in inventories (current US$),-0.10877783175007047,0.04568819635540748,0.03186015800846895,-0.083441003746763,0.0015468097443025112,0.522014156991982,0.9892414547281636,1.0,0.006838400926582526,-0.005805278955927841,-0.04605063781692259,-0.008193428933702207,-0.033158991959326145,-0.011173388188645498,-0.02186948492751526,-0.013492595044585377,0.003835861914530424,-0.009814040250526854,-0.07793205488258724,-0.2760259419578566,0.04807032738541976,-0.15899008793050154,-0.11242543409853868,-0.03345713003789628,0.1255670530986288,0.16648974859843346,0.010906264256607906,0.10921257203959027,-0.07262018783412953,-0.09355180145519047,-0.0709113363855536,-0.048986019266297205,-0.005811756189923544,-0.039082817183622554,0.0031526826135368346,-0.07817084563561463,-0.08339270435774104,-0.08124346284311688,0.017404759669823133,-0.12228328713637777,0.027165971792727714,-0.09344062334010138,-0.06789458795850113,-0.052666580018778046,0.06426220820824567,-0.07856325120967761,-0.02426708157298165,-0.09682661490469086,-0.09528820631089113,0.00801707689759978,-0.047388183413210314,-0.03174525060008424,-0.05775375351667924,-0.1480357843749429,-0.05994573982902805,-0.0830576603003042,-0.0676432027498264,-0.12582667484371543,0.02056712458180693,-0.06308532104683867,0.08243633040969603,-0.10286352567004846,-0.07655581567096226,0.04245462723575812,-0.016919487523219576,-0.08625178686105806,-0.005417322456532488,-0.014805405918996411,-0.003617759162689855,0.11719713216455843,0.04400396925113512,0.1802088125502267,0.006755453445855737,0.06366674931120123,0.09061528002160707,0.021730964680523775,0.08085816792367223,-0.059428203315188256,-0.06757066535950512,-0.09498380061600951,-0.07203753005058391,-0.07964001567047291,-0.06791661911201938,0.015929067794126485,0.041553718877624865,0.0017459911949991727,-0.12563721701143513,0.0020353543339882477,0.001554404645320448,-0.006097765641118345,0.019632403556306473,0.04754615281502482,-0.05497238009837139,-0.12868152797931445,-0.014793502665643585,0.01806381728699129,-0.1899507360109212,0.04266310519431003,-0.03611397710169658,-0.06306642496262233,0.11535702743779065
"Charges for the use of intellectual property, receipts (BoP, current US$)",-0.0857786177756221,0.3239144796911294,-0.1641264341710779,0.023202310040582038,0.28241200510590064,0.17693486429734856,-0.0261721589320253,0.006838400926582526,1.0,0.09360799604967947,0.20187192943563645,0.42017666301534,0.13028022140497414,0.39622402614378943,0.39508898044610924,0.3849174469282192,-0.1823419056475997,-0.19713264457613233,-0.4516113181080313,-0.07102826036782565,-0.0816208862329618,0.0970728782158958,0.07702795996269662,0.6340757811953582,-0.25662187125919494,0.26592927771443614,-0.07010761587060452,0.3141844710624326,0.4176795181192048,0.14455423719542282,0.17340949978478054,0.11256310106920221,-0.10924703750523543,0.18051297513630624,0.18429340447238346,0.0483527730013525,0.16398680289439937,0.0736704846415469,0.1358763661316588,0.1359498321827415,0.039121742495000465,0.1376212731246151,0.17325723545089236,0.030862791076265984,0.11901051004867773,0.1700257403000803,0.09816271865247125,0.13148446898160876,0.10335507223261539,0.00351183170354577,0.17527794153884885,0.1303394124051764,0.003918087378138964,0.11054609320236432,0.12115074747496757,0.11476657874212247,0.22147683946336452,0.17170830270048607,-0.05345759508053567,-0.01329934728322645,-0.04603500925881859,0.07718364771992296,0.14327549801126066,-0.24407670595477418,0.2922624609838939,0.5768320262561757,0.30603906811970527,0.3302655992177718,0.28930202730677307,-0.4698872221489628,-0.06586180032155292,-0.06751731319994388,-0.15577421294813734,0.504103785496433,0.4583223988728049,0.4457422778315533,0.3683041333117896,0.12285536279840276,0.4968058163826464,0.0021317721808279642,0.4901021603103466,0.4819361860213115,0.4922223855894748,0.16309596402636362,0.10138596934955575,0.43167577884124986,0.028128704090716623,0.40953443904084985,0.41251885993148535,0.4081338526885431,-0.1681782672474173,0.0035117156647580194,0.43396395001336585,0.5053640675303692,0.6343493716084136,0.22879877007346905,0.17629642792112826,0.04829782422578183,0.5445506046971362,0.5132834170661598,-0.08283675103702608
Compensation of employees (current LCU),0.14381850882130862,-0.19922059740734627,0.13994297211097917,0.14410435193515145,-0.3020846081462717,-0.1362891040652609,0.05042237813993527,-0.005805278955927841,0.09360799604967947,1.0,0.28025304759585173,-0.22747476306855352,0.15447682401358565,-0.18244966639680027,-0.16442735114077175,-0.2102507239481075,-0.14393331173818902,0.7497442615154495,0.09851040517655185,0.1696896694142405,0.05851041554149666,-0.03811556217519085,0.019036560136417847,0.25445984717549547,0.35268050562930425,-0.3366659448618317,-0.24472637651284979,0.15552388134310943,-0.09970582406974712,0.06419262472204862,0.11318609379201654,0.014408390065727356,-0.2990211860213319,-0.0910027713002386,-0.07766955897116296,-0.05859284993056976,0.11806122665231993,-0.2908097077000582,0.06375079984650876,-0.013185841573011343,-0.11589492963517925,0.0446245994129283,0.04212467490381766,0.045252669881747136,-0.022627642861843975,0.03480392947305838,-0.059744200296547416,0.15636974386659475,-0.26424015618660096,-0.049524436072694016,0.10585588166966158,-0.0025464795563335425,-0.14123449011281536,-0.03936852582616741,0.017049149605927728,0.06991147664159914,0.10557842786587254,0.11748167138613176,-0.04877618742466726,0.21920305589900982,0.11214174104725404,0.18133146459707297,0.14327619587271792,0.20774527832156955,-0.34358139132775184,0.13885396139451908,-0.3431347260857786,-0.3345982748024069,-0.360227135962312,-0.1655669450053253,1.3592782067764391e-05,0.017443409814061228,0.32454496048181053,-0.36343082523433584,-0.3909735417435697,-0.33043162516852714,-0.25039232199414474,0.18523750257947716,-0.23347029576977454,0.321286281039086,-0.2057668781847474,-0.1871564623125768,-0.2296999541592412,-0.36763936379485107,-0.18441962913290988,-0.2029767003091222,0.1662322452765926,-0.1709763684693631,-0.18158454143956593,-0.18545649392294752,-0.08178910651082827,-0.08496709738064374,-0.1795480453827786,0.10210073537827973,-0.0010765406760670023,0.9487690798441201,0.2903052993008145,0.014671386212297449,0.3735169793759138,0.3971031819028754,0.024180056382075973
