Country Name,Country Code,Series Name,Series Code,Quarter,Value,Year,Source,Indicator Category,Region,Value_Transformed
Canada,CAN,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,North America,28.524305164029702
United States,USA,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,12200655711.6988,2021,WDI,Economic Indicators,North America,23.22475553418383
Argentina,ARG,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,386893000.0,2021,WDI,Economic Indicators,Latin America & Caribbean,19.773658729561394
Brazil,BRA,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,67480727700.0,2021,WDI,Economic Indicators,Latin America & Caribbean,24.93510787851683
Colombia,COL,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,-389000000000.0,2021,WDI,Economic Indicators,Latin America & Caribbean,-26.686845180567428
Costa Rica,CRI,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,1104171978317.23,2021,WDI,Economic Indicators,Latin America & Caribbean,27.730116829113566
Dominican Republic,DOM,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,109731118300.0,2021,WDI,Economic Indicators,Latin America & Caribbean,25.42129883128514
El Salvador,SLV,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,382112883.0,2021,WDI,Economic Indicators,Latin America & Caribbean,19.761226630770405
Guatemala,GTM,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,3956623400.0,2021,WDI,Economic Indicators,Latin America & Caribbean,22.098656821962248
Honduras,HND,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,3283400000.0,2021,WDI,Economic Indicators,Latin America & Caribbean,21.912145308129254
Mexico,MEX,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,68595970000.0,2021,WDI,Economic Indicators,North America,24.951499623611507
Nicaragua,NIC,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Latin America & Caribbean,28.524305164029702
Paraguay,PRY,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,5875621732500.0,2021,WDI,Economic Indicators,Latin America & Caribbean,29.40183299716819
Peru,PER,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,-3044000000.0,2021,WDI,Economic Indicators,Latin America & Caribbean,-21.836438277274365
St. Lucia,LCA,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Latin America & Caribbean,28.524305164029702
Uruguay,URY,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,8565257835.64238,2021,WDI,Economic Indicators,Latin America & Caribbean,22.870980071788644
Albania,ALB,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,1084545454.24422,2021,WDI,Economic Indicators,Europe,20.80442680090216
Armenia,ARM,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,100643394600.0,2021,WDI,Economic Indicators,Europe,25.334849359466816
Australia,AUS,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,7276000000.0,2021,WDI,Economic Indicators,East Asia & Pacific,22.707847097739727
Austria,AUT,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Bangladesh,BGD,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,South Asia,28.524305164029702
Belgium,BEL,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Bosnia and Herzegovina,BIH,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2026018000.0,2021,WDI,Economic Indicators,Europe,21.429338127728496
Bulgaria,BGR,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Cote d'Ivoire,CIV,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,850591437300.0,2021,WDI,Economic Indicators,Sub-Saharan Africa,27.46919775305762
Croatia,HRV,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,497587100.0,2021,WDI,Economic Indicators,Europe,20.025281176625597
Cyprus,CYP,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Czechia,CZE,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Denmark,DNK,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Estonia,EST,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Fiji,FJI,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,East Asia & Pacific,28.524305164029702
Finland,FIN,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
France,FRA,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Georgia,GEO,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Germany,DEU,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Greece,GRC,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Hungary,HUN,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Iceland,ISL,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Indonesia,IDN,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,62709085361390.0,2021,WDI,Economic Indicators,East Asia & Pacific,31.76952745516568
Ireland,IRL,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Italy,ITA,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Japan,JPN,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,East Asia & Pacific,28.524305164029702
Kazakhstan,KAZ,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Central Asia,28.524305164029702
Kenya,KEN,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,83554000000.0,2021,WDI,Economic Indicators,Sub-Saharan Africa,25.148758966377425
"Korea, Rep.",KOR,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,8834700000000.0,2021,WDI,Economic Indicators,East Asia & Pacific,29.809708265266423
Kosovo,XKX,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,68885600.0,2021,WDI,Economic Indicators,Europe,18.04795773010885
Kyrgyz Republic,KGZ,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,11905702200.0,2021,WDI,Economic Indicators,Central Asia,23.200283298850092
Latvia,LVA,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Lithuania,LTU,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Luxembourg,LUX,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Malta,MLT,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Mauritius,MUS,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Sub-Saharan Africa,28.524305164029702
Moldova,MDA,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Nepal,NPL,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,166782467500.0,2021,WDI,Economic Indicators,South Asia,25.839956210441244
Netherlands,NLD,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
North Macedonia,MKD,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,15734717482.5298,2021,WDI,Economic Indicators,Europe,23.47913541264826
Norway,NOR,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
Pakistan,PAK,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,625626000000.0,2021,WDI,Economic Indicators,South Asia,27.162018585417815
Philippines,PHL,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,-81106701800.0,2021,WDI,Economic Indicators,East Asia & Pacific,-25.119031430917463
Poland,POL,Changes in inventories (constant LCU),NE.GDI.STKB.KN,0,2443139879985.249,2021,WDI,Economic Indicators,Europe,28.524305164029702
