Country Name,Country Code,Series Name,Series Code,Quarter,Value,Year,Source,Indicator Category,Region,Value_Transformed
Canada,CAN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,537.0,2021,WDI,Environmental Indicators,North America,0.779581418413473
United States,USA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,715.0,2021,WDI,Environmental Indicators,North America,0.8372731505408647
Argentina,ARG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,591.0,2021,WDI,Environmental Indicators,Latin America & Caribbean,0.799170565609247
Brazil,BRA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1761.0,2021,WDI,Environmental Indicators,Latin America & Caribbean,1.0033090809572116
Colombia,COL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,3240.0,2021,WDI,Environmental Indicators,Latin America & Caribbean,1.1033116216375052
Costa Rica,CRI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,2926.0,2021,WDI,Environmental Indicators,Latin America & Caribbean,1.0872359074797187
Dominican Republic,DOM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1410.0,2021,WDI,Environmental Indicators,Latin America & Caribbean,0.9644609026540237
El Salvador,SLV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1784.0,2021,WDI,Environmental Indicators,Latin America & Caribbean,1.0055362403522339
Guatemala,GTM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1996.0,2021,WDI,Environmental Indicators,Latin America & Caribbean,1.0246247547254073
Honduras,HND,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1976.0,2021,WDI,Environmental Indicators,Latin America & Caribbean,1.0229261570952448
Mexico,MEX,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,758.0,2021,WDI,Environmental Indicators,North America,0.8487367251674685
Nicaragua,NIC,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,2280.0,2021,WDI,Environmental Indicators,Latin America & Caribbean,1.0468185550867952
Paraguay,PRY,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1130.0,2021,WDI,Environmental Indicators,Latin America & Caribbean,0.9244380004497667
Peru,PER,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1738.0,2021,WDI,Environmental Indicators,Latin America & Caribbean,1.0010481226240064
St. Lucia,LCA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,2301.0,2021,WDI,Environmental Indicators,Latin America & Caribbean,1.0483315330289111
Uruguay,URY,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1300.0,2021,WDI,Environmental Indicators,Latin America & Caribbean,0.9499328798906872
Albania,ALB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1485.0,2021,WDI,Environmental Indicators,Europe,0.9736364634686353
Armenia,ARM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,562.0,2021,WDI,Environmental Indicators,Europe,0.7889197909800477
Australia,AUS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,534.0,2021,WDI,Environmental Indicators,East Asia & Pacific,0.7784272492007607
Austria,AUT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1110.0,2021,WDI,Environmental Indicators,Europe,0.9211500187784127
Bangladesh,BGD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,2666.0,2021,WDI,Environmental Indicators,South Asia,1.0723394438029201
Belgium,BEL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,847.0,2021,WDI,Environmental Indicators,Europe,0.8702492695719999
Bosnia and Herzegovina,BIH,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1028.0,2021,WDI,Environmental Indicators,Europe,0.9069170519730009
Bulgaria,BGR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,608.0,2021,WDI,Environmental Indicators,Europe,0.8049138505423169
Cote d'Ivoire,CIV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1348.0,2021,WDI,Environmental Indicators,Sub-Saharan Africa,0.95644026680774
Croatia,HRV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1113.0,2021,WDI,Environmental Indicators,Europe,0.9216475504102207
Cyprus,CYP,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,498.0,2021,WDI,Environmental Indicators,Europe,0.7639655319617688
Czechia,CZE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,677.0,2021,WDI,Environmental Indicators,Europe,0.8264608487313214
Denmark,DNK,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,703.0,2021,WDI,Environmental Indicators,Europe,0.8339317007973408
Estonia,EST,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,626.0,2021,WDI,Environmental Indicators,Europe,0.8107967536686183
Fiji,FJI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,2592.0,2021,WDI,Environmental Indicators,East Asia & Pacific,1.0677912664498033
Finland,FIN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,536.0,2021,WDI,Environmental Indicators,Europe,0.779197522187737
France,FRA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,867.0,2021,WDI,Environmental Indicators,Europe,0.8747255615567491
Georgia,GEO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1026.0,2021,WDI,Environmental Indicators,Europe,0.9065537121052177
Germany,DEU,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,700.0,2021,WDI,Environmental Indicators,Europe,0.8330860631145381
Greece,GRC,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,652.0,2021,WDI,Environmental Indicators,Europe,0.8189588263973098
Hungary,HUN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,589.0,2021,WDI,Environmental Indicators,Europe,0.7984823941135983
Iceland,ISL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1940.0,2021,WDI,Environmental Indicators,Europe,1.0198181278244283
Indonesia,IDN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,2702.0,2021,WDI,Environmental Indicators,East Asia & Pacific,1.0744997213451486
Ireland,IRL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1118.0,2021,WDI,Environmental Indicators,Europe,0.9224733441070243
Italy,ITA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,832.0,2021,WDI,Environmental Indicators,Europe,0.8668113501501833
Japan,JPN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1668.0,2021,WDI,Environmental Indicators,East Asia & Pacific,0.9939487185503743
Kazakhstan,KAZ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,250.0,2021,WDI,Environmental Indicators,Central Asia,0.6126917517620352
Kenya,KEN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,630.0,2021,WDI,Environmental Indicators,Sub-Saharan Africa,0.8120776150536205
"Korea, Rep.",KOR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1274.0,2021,WDI,Environmental Indicators,East Asia & Pacific,0.9462912989629348
Kosovo,XKX,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2021,WDI,Environmental Indicators,Europe,0.9290419075058747
Kyrgyz Republic,KGZ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,533.0,2021,WDI,Environmental Indicators,Central Asia,0.7780408657766228
Latvia,LVA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,667.0,2021,WDI,Environmental Indicators,Europe,0.8234989569473277
Lithuania,LTU,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,656.0,2021,WDI,Environmental Indicators,Europe,0.8201812047647089
Luxembourg,LUX,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,934.0,2021,WDI,Environmental Indicators,Europe,0.888896715102671
Malta,MLT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,560.0,2021,WDI,Environmental Indicators,Europe,0.7881904864595801
Mauritius,MUS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,2041.0,2021,WDI,Environmental Indicators,Sub-Saharan Africa,1.0283758754892636
Moldova,MDA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,450.0,2021,WDI,Environmental Indicators,Europe,0.7426911486760016
Nepal,NPL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1500.0,2021,WDI,Environmental Indicators,South Asia,0.9754074536264481
Netherlands,NLD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,778.0,2021,WDI,Environmental Indicators,Europe,0.8538159900104931
North Macedonia,MKD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,619.0,2021,WDI,Environmental Indicators,Europe,0.8085323967023064
Norway,NOR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1414.0,2021,WDI,Environmental Indicators,Europe,0.9649643394966143
Pakistan,PAK,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,494.0,2021,WDI,Environmental Indicators,South Asia,0.7622846712420207
Philippines,PHL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,2348.0,2021,WDI,Environmental Indicators,East Asia & Pacific,1.0516607753327731
Poland,POL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,600.0,2021,WDI,Environmental Indicators,Europe,0.8022344837796337
Portugal,PRT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,854.0,2021,WDI,Environmental Indicators,Europe,0.8718297010849279
Romania,ROU,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,637.0,2021,WDI,Environmental Indicators,Europe,0.8142967376168502
Rwanda,RWA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1212.0,2021,WDI,Environmental Indicators,Sub-Saharan Africa,0.9372502444587045
Senegal,SEN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,686.0,2021,WDI,Environmental Indicators,Sub-Saharan Africa,0.8290837723389691
Slovak Republic,SVK,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,824.0,2021,WDI,Environmental Indicators,Europe,0.8649484577599466
Slovenia,SVN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1162.0,2021,WDI,Environmental Indicators,Europe,0.929561664073235
South Africa,ZAF,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,495.0,2021,WDI,Environmental Indicators,Sub-Saharan Africa,0.7627063518726713
Spain,ESP,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,636.0,2021,WDI,Environmental Indicators,Europe,0.8139814446907481
Sri Lanka,LKA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1712.0,2021,WDI,Environmental Indicators,South Asia,0.9984503365865586
Sweden,SWE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,624.0,2021,WDI,Environmental Indicators,Europe,0.8101527824540988
Switzerland,CHE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1537.0,2021,WDI,Environmental Indicators,Europe,0.9796899830765862
Tajikistan,TJK,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,691.0,2021,WDI,Environmental Indicators,Central Asia,0.8305238782216403
Thailand,THA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1622.0,2021,WDI,Environmental Indicators,East Asia & Pacific,0.9890936654100201
Turkiye,TUR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,593.0,2021,WDI,Environmental Indicators,Europe,0.7998560598128928
Uganda,UGA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1180.0,2021,WDI,Environmental Indicators,Sub-Saharan Africa,0.9323727505484998
United Kingdom,GBR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1220.0,2021,WDI,Environmental Indicators,Europe,0.9384464428399644
Canada,CAN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,North America,0.9290419075058747
United States,USA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,North America,0.9290419075058747
Argentina,ARG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Latin America & Caribbean,0.9290419075058747
Brazil,BRA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Latin America & Caribbean,0.9290419075058747
Colombia,COL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Latin America & Caribbean,0.9290419075058747
Costa Rica,CRI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Latin America & Caribbean,0.9290419075058747
Dominican Republic,DOM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Latin America & Caribbean,0.9290419075058747
El Salvador,SLV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Latin America & Caribbean,0.9290419075058747
Guatemala,GTM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Latin America & Caribbean,0.9290419075058747
Honduras,HND,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Latin America & Caribbean,0.9290419075058747
Mexico,MEX,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,North America,0.9290419075058747
Nicaragua,NIC,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Latin America & Caribbean,0.9290419075058747
Paraguay,PRY,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Latin America & Caribbean,0.9290419075058747
Peru,PER,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Latin America & Caribbean,0.9290419075058747
St. Lucia,LCA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Latin America & Caribbean,0.9290419075058747
Uruguay,URY,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Latin America & Caribbean,0.9290419075058747
Albania,ALB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Europe,0.9290419075058747
Armenia,ARM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Europe,0.9290419075058747
Australia,AUS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,East Asia & Pacific,0.9290419075058747
Austria,AUT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Europe,0.9290419075058747
Bangladesh,BGD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,South Asia,0.9290419075058747
Belgium,BEL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Europe,0.9290419075058747
Bosnia and Herzegovina,BIH,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Europe,0.9290419075058747
Bulgaria,BGR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Europe,0.9290419075058747
Cote d'Ivoire,CIV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Sub-Saharan Africa,0.9290419075058747
Croatia,HRV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,0,1158.7066666666667,2022,WDI,Environmental Indicators,Europe,0.9290419075058747
