Country Name,Country Code,Series Name,Series Code,Quarter,Value,Year,Source,Indicator Category,Region,Value_Transformed,Year_Quarter
Canada,CAN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,North America,15.579276013705243,2021_0
United States,USA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,North America,15.579276013705243,2021_0
Argentina,ARG,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-144528237.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-18.788985465110137,2021_0
Brazil,BRA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,224417995.0,2021,WDI,Financial Indicators,Latin America & Caribbean,19.229020924475712,2021_0
Colombia,COL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,24752631.0,2021,WDI,Financial Indicators,Latin America & Caribbean,17.024442384759254,2021_0
Costa Rica,CRI,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-8187004.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-15.918058699082716,2021_0
Dominican Republic,DOM,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-85979850.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-18.269623536069755,2021_0
El Salvador,SLV,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-8805715.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-15.990911614039636,2021_0
Guatemala,GTM,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-30667328.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-17.238708443938062,2021_0
Honduras,HND,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-41122330.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-17.532061865247684,2021_0
Mexico,MEX,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-180795952.0,2021,WDI,Financial Indicators,North America,-19.01287962182227,2021_0
Nicaragua,NIC,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,9542312.0,2021,WDI,Financial Indicators,Latin America & Caribbean,16.07124646686772,2021_0
Paraguay,PRY,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-34666667.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-17.361289206899073,2021_0
Peru,PER,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-219020.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-12.296922894612406,2021_0
St. Lucia,LCA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,0.0,2021,WDI,Financial Indicators,Latin America & Caribbean,0.0,2021_0
Uruguay,URY,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Latin America & Caribbean,15.579276013705243,2021_0
Albania,ALB,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-4436331.0,2021,WDI,Financial Indicators,Europe,-15.305338466852035,2021_0
Armenia,ARM,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,64495003.0,2021,WDI,Financial Indicators,Europe,17.982098321401683,2021_0
Australia,AUS,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,East Asia & Pacific,15.579276013705243,2021_0
Austria,AUT,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Bangladesh,BGD,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-129501504.0,2021,WDI,Financial Indicators,South Asia,-18.67920306065796,2021_0
Belgium,BEL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Bosnia and Herzegovina,BIH,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-4815645.0,2021,WDI,Financial Indicators,Europe,-15.38738075828578,2021_0
Bulgaria,BGR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Cote d'Ivoire,CIV,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-20971625.0,2021,WDI,Financial Indicators,Sub-Saharan Africa,-16.858680939214,2021_0
Croatia,HRV,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Cyprus,CYP,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Czechia,CZE,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Denmark,DNK,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Estonia,EST,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Fiji,FJI,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,0.0,2021,WDI,Financial Indicators,East Asia & Pacific,0.0,2021_0
Finland,FIN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
France,FRA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Georgia,GEO,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-32906094.0,2021,WDI,Financial Indicators,Europe,-17.309168456936053,2021_0
Germany,DEU,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Greece,GRC,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Hungary,HUN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Iceland,ISL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Indonesia,IDN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-59240746.0,2021,WDI,Financial Indicators,East Asia & Pacific,-17.89712015700753,2021_0
Ireland,IRL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Italy,ITA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705243,2021_0
Japan,JPN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,East Asia & Pacific,15.579276013705243,2021_0
Kazakhstan,KAZ,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-564635.0,2021,WDI,Financial Indicators,Central Asia,-13.243936554724186,2021_0
