Country Name,Country Code,Series Name,Series Code,Quarter,Value,Year,Source,Indicator Category,Region,Value_Transformed
Canada,CAN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,North America,15.579276013705245
United States,USA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,North America,15.579276013705245
Argentina,ARG,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-144528237.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-18.788985465110137
Brazil,BRA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,224417995.0,2021,WDI,Financial Indicators,Latin America & Caribbean,19.229020924475712
Colombia,COL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,24752631.0,2021,WDI,Financial Indicators,Latin America & Caribbean,17.024442384759254
Costa Rica,CRI,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-8187004.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-15.918058699082717
Dominican Republic,DOM,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-85979850.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-18.269623536069755
El Salvador,SLV,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-8805715.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-15.990911614039637
Guatemala,GTM,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-30667328.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-17.238708443938062
Honduras,HND,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-41122330.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-17.532061865247684
Mexico,MEX,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-180795952.0,2021,WDI,Financial Indicators,North America,-19.01287962182227
Nicaragua,NIC,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,9542312.0,2021,WDI,Financial Indicators,Latin America & Caribbean,16.07124646686772
Paraguay,PRY,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-34666667.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-17.361289206899073
Peru,PER,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-219020.0,2021,WDI,Financial Indicators,Latin America & Caribbean,-12.296922894612406
St. Lucia,LCA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,0.0,2021,WDI,Financial Indicators,Latin America & Caribbean,0.0
Uruguay,URY,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Latin America & Caribbean,15.579276013705245
Albania,ALB,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-4436331.0,2021,WDI,Financial Indicators,Europe,-15.305338466852037
Armenia,ARM,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,64495003.0,2021,WDI,Financial Indicators,Europe,17.982098321401683
Australia,AUS,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,East Asia & Pacific,15.579276013705245
Austria,AUT,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Bangladesh,BGD,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-129501504.0,2021,WDI,Financial Indicators,South Asia,-18.679203060657958
Belgium,BEL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Bosnia and Herzegovina,BIH,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-4815645.0,2021,WDI,Financial Indicators,Europe,-15.387380758285781
Bulgaria,BGR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Cote d'Ivoire,CIV,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-20971625.0,2021,WDI,Financial Indicators,Sub-Saharan Africa,-16.858680939214
Croatia,HRV,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Cyprus,CYP,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Czechia,CZE,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Denmark,DNK,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Estonia,EST,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Fiji,FJI,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,0.0,2021,WDI,Financial Indicators,East Asia & Pacific,0.0
Finland,FIN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
France,FRA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Georgia,GEO,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-32906094.0,2021,WDI,Financial Indicators,Europe,-17.309168456936053
Germany,DEU,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Greece,GRC,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Hungary,HUN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Iceland,ISL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Indonesia,IDN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-59240746.0,2021,WDI,Financial Indicators,East Asia & Pacific,-17.89712015700753
Ireland,IRL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Italy,ITA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Japan,JPN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,East Asia & Pacific,15.579276013705245
Kazakhstan,KAZ,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-564635.0,2021,WDI,Financial Indicators,Central Asia,-13.243936554724186
Kenya,KEN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-29011627.0,2021,WDI,Financial Indicators,Sub-Saharan Africa,-17.1832072731028
"Korea, Rep.",KOR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,East Asia & Pacific,15.579276013705245
Kosovo,XKX,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,3196575.0,2021,WDI,Financial Indicators,Europe,14.97759079491128
Kyrgyz Republic,KGZ,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,4849276.0,2021,WDI,Financial Indicators,Central Asia,15.394340179636359
Latvia,LVA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Lithuania,LTU,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Luxembourg,LUX,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Malta,MLT,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Mauritius,MUS,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-8333334.0,2021,WDI,Financial Indicators,Sub-Saharan Africa,-15.935774294164345
Moldova,MDA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,0.0,2021,WDI,Financial Indicators,Europe,0.0
Nepal,NPL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,9425183.0,2021,WDI,Financial Indicators,South Asia,16.058895813654207
Netherlands,NLD,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
North Macedonia,MKD,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-17559289.0,2021,WDI,Financial Indicators,Europe,-16.681093712551995
Norway,NOR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Pakistan,PAK,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-6054934.0,2021,WDI,Financial Indicators,South Asia,-15.6163841999819
Philippines,PHL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,36363974.0,2021,WDI,Financial Indicators,East Asia & Pacific,17.409089144730526
Poland,POL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Portugal,PRT,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Romania,ROU,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Rwanda,RWA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-14745428.0,2021,WDI,Financial Indicators,Sub-Saharan Africa,-16.506443694416614
Senegal,SEN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,36259737.0,2021,WDI,Financial Indicators,Sub-Saharan Africa,17.406218537671933
Slovak Republic,SVK,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Slovenia,SVN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
South Africa,ZAF,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,650256407.0,2021,WDI,Financial Indicators,Sub-Saharan Africa,20.292877316915757
Spain,ESP,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Sri Lanka,LKA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-46556164.0,2021,WDI,Financial Indicators,South Asia,-17.656169991156634
Sweden,SWE,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Switzerland,CHE,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Tajikistan,TJK,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-4133881.0,2021,WDI,Financial Indicators,Central Asia,-15.234727475033209
Thailand,THA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,53267500.0,2021,WDI,Financial Indicators,East Asia & Pacific,17.79083696583483
Turkiye,TUR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,50896125.0,2021,WDI,Financial Indicators,Europe,17.74529736860459
Uganda,UGA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-26379177.0,2021,WDI,Financial Indicators,Sub-Saharan Africa,-17.088085544798286
United Kingdom,GBR,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,5834364.128205128,2021,WDI,Financial Indicators,Europe,15.579276013705245
Canada,CAN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,North America,18.3726028629721
United States,USA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,95305954.8974359,2022,WDI,Financial Indicators,North America,18.3726028629721
Argentina,ARG,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-164032792.0,2022,WDI,Financial Indicators,Latin America & Caribbean,-18.915576923116745
Brazil,BRA,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,1407925192.0,2022,WDI,Financial Indicators,Latin America & Caribbean,21.065382963299225
Colombia,COL,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,560438913.0,2022,WDI,Financial Indicators,Latin America & Caribbean,20.14423080970224
Costa Rica,CRI,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-36982559.0,2022,WDI,Financial Indicators,Latin America & Caribbean,-17.42595700813618
Dominican Republic,DOM,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,-45407796.0,2022,WDI,Financial Indicators,Latin America & Caribbean,-17.631194388354043
El Salvador,SLV,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,17291487.0,2022,WDI,Financial Indicators,Latin America & Caribbean,16.665724915263525
Guatemala,GTM,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,113202806.0,2022,WDI,Financial Indicators,Latin America & Caribbean,18.54469152024571
Honduras,HND,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,0,56004457.0,2022,WDI,Financial Indicators,Latin America & Caribbean,17.8409418526738
