Country Name,Country Code,Series Name,Series Code,Quarter,Value,Year,Source,Indicator Category,Region,Value_Transformed
Canada,CAN,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,21024166.02651485,2021,WDI,Public Debt Indicators,North America,4585.211666489874
United States,USA,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,21024166.02651485,2021,WDI,Public Debt Indicators,North America,4585.211666489874
Argentina,ARG,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,59999.9986588955,2021,WDI,Public Debt Indicators,Latin America & Caribbean,244.9489715407997
Brazil,BRA,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,119999.997317791,2021,WDI,Public Debt Indicators,Latin America & Caribbean,346.4101576423402
Colombia,COL,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,59999.9986588955,2021,WDI,Public Debt Indicators,Latin America & Caribbean,244.9489715407997
Costa Rica,CRI,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,9999.99977648258,2021,WDI,Public Debt Indicators,Latin America & Caribbean,99.9999988824129
Dominican Republic,DOM,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,9999.99977648258,2021,WDI,Public Debt Indicators,Latin America & Caribbean,99.9999988824129
El Salvador,SLV,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,9999.99977648258,2021,WDI,Public Debt Indicators,Latin America & Caribbean,99.9999988824129
Guatemala,GTM,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,9999.99977648258,2021,WDI,Public Debt Indicators,Latin America & Caribbean,99.9999988824129
Honduras,HND,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,9999.99977648258,2021,WDI,Public Debt Indicators,Latin America & Caribbean,99.9999988824129
Mexico,MEX,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,109999.999403954,2021,WDI,Public Debt Indicators,North America,331.66247813696685
Nicaragua,NIC,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,50000.0007450581,2021,WDI,Public Debt Indicators,Latin America & Caribbean,223.60679941597954
Paraguay,PRY,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,29999.9993294477,2021,WDI,Public Debt Indicators,Latin America & Caribbean,173.20507882116996
Peru,PER,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,200000.002980232,2021,WDI,Public Debt Indicators,Latin America & Caribbean,447.2135988319586
St. Lucia,LCA,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,9999.99977648258,2021,WDI,Public Debt Indicators,Latin America & Caribbean,99.9999988824129
Uruguay,URY,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,21024166.02651485,2021,WDI,Public Debt Indicators,Latin America & Caribbean,4585.211666489874
Albania,ALB,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,9999.99977648258,2021,WDI,Public Debt Indicators,Europe,99.9999988824129
Armenia,ARM,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,21024166.02651485,2021,WDI,Public Debt Indicators,Europe,4585.211666489874
Australia,AUS,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,21024166.02651485,2021,WDI,Public Debt Indicators,East Asia & Pacific,4585.211666489874
Austria,AUT,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,21024166.02651485,2021,WDI,Public Debt Indicators,Europe,4585.211666489874
Bangladesh,BGD,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,93059997.5585938,2021,WDI,Public Debt Indicators,South Asia,9646.760987947913
Belgium,BEL,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,21024166.02651485,2021,WDI,Public Debt Indicators,Europe,4585.211666489874
Bosnia and Herzegovina,BIH,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,19999.9995529652,2021,WDI,Public Debt Indicators,Europe,141.4213546568028
Bulgaria,BGR,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,21024166.02651485,2021,WDI,Public Debt Indicators,Europe,4585.211666489874
Cote d'Ivoire,CIV,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,0,50000.0007450581,2021,WDI,Public Debt Indicators,Sub-Saharan Africa,223.60679941597954
