Country Name,Country Code,Series Name,Series Code,Quarter,Value,Year,Source,Indicator Category,Region,Value_Transformed
Canada,CAN,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,93.44444444444444,2021,WDI,Social Indicators,North America,0.010588235294117647
United States,USA,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,93.44444444444444,2021,WDI,Social Indicators,North America,0.010588235294117647
Argentina,ARG,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,93.44444444444444,2021,WDI,Social Indicators,Latin America & Caribbean,0.010588235294117647
Brazil,BRA,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,96.0,2021,WDI,Social Indicators,Latin America & Caribbean,0.010309278350515464
Colombia,COL,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,97.0,2021,WDI,Social Indicators,Latin America & Caribbean,0.01020408163265306
Costa Rica,CRI,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,93.44444444444444,2021,WDI,Social Indicators,Latin America & Caribbean,0.010588235294117647
Dominican Republic,DOM,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,99.0,2021,WDI,Social Indicators,Latin America & Caribbean,0.01
El Salvador,SLV,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,92.0,2021,WDI,Social Indicators,Latin America & Caribbean,0.010752688172043012
Guatemala,GTM,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,91.0,2021,WDI,Social Indicators,Latin America & Caribbean,0.010869565217391304
Honduras,HND,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,99.0,2021,WDI,Social Indicators,Latin America & Caribbean,0.01
Mexico,MEX,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,98.0,2021,WDI,Social Indicators,North America,0.010101010101010102
Nicaragua,NIC,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,92.0,2021,WDI,Social Indicators,Latin America & Caribbean,0.010752688172043012
Paraguay,PRY,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,96.0,2021,WDI,Social Indicators,Latin America & Caribbean,0.010309278350515464
Peru,PER,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,95.0,2021,WDI,Social Indicators,Latin America & Caribbean,0.010416666666666666
St. Lucia,LCA,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,0,93.44444444444444,2021,WDI,Social Indicators,Latin America & Caribbean,0.010588235294117647
