Country Name,Country Code,Series Name,Series Code,Quarter,Value,Year,Source,Indicator Category,Region,Value_Transformed
Canada,CAN,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,North America,
United States,USA,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,North America,
Argentina,ARG,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Latin America & Caribbean,
Brazil,BRA,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Latin America & Caribbean,
Colombia,COL,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Latin America & Caribbean,
Costa Rica,CRI,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Latin America & Caribbean,
Dominican Republic,DOM,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Latin America & Caribbean,
El Salvador,SLV,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Latin America & Caribbean,
Guatemala,GTM,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Latin America & Caribbean,
Honduras,HND,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Latin America & Caribbean,
Mexico,MEX,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,North America,
Nicaragua,NIC,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Latin America & Caribbean,
Paraguay,PRY,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Latin America & Caribbean,
Peru,PER,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Latin America & Caribbean,
St. Lucia,LCA,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Latin America & Caribbean,
Uruguay,URY,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Latin America & Caribbean,
Albania,ALB,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Europe,
Armenia,ARM,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Europe,
Australia,AUS,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,East Asia & Pacific,
Austria,AUT,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Europe,
Bangladesh,BGD,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,South Asia,
Belgium,BEL,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Europe,
Bosnia and Herzegovina,BIH,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Europe,
Bulgaria,BGR,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Europe,
Cote d'Ivoire,CIV,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Sub-Saharan Africa,
Croatia,HRV,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Europe,
Cyprus,CYP,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Europe,
Czechia,CZE,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Europe,
Denmark,DNK,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Europe,
Estonia,EST,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,Europe,
Fiji,FJI,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,0,,2021,WDI,Statistical Indicators,East Asia & Pacific,
